
"03000000-1","Produkty rolnictwa, hodowli, rybołówstwa, leśnictwa i podobne"
"03100000-2","Produkty rolnictwa i ogrodnictwa"
"03110000-5","Rośliny uprawne, produkty warzywnictwa i ogrodnictwa"
"03111000-2","Nasiona"
"03111100-3","Nasiona soi"
"03111200-4","Orzeszki ziemne"
"03111300-5","Nasiona słonecznika"
"03111400-6","Nasiona bawełny"
"03111500-7","Nasiona sezamu"
"03111600-8","Nasiona gorczycy"
"03111700-9","Nasiona warzyw"
"03111800-0","Nasiona owoców"
"03111900-1","Nasiona kwiatów"
"03112000-9","Tytoń nieprzetworzony"
"03113000-6","Rośliny używane do produkcji cukru"
"03113100-7","Buraki cukrowe"
"03113200-8","Trzcina cukrowa"
"03114000-3","Słoma i siano"
"03114100-4","Słoma"
"03114200-5","Siano"
"03115000-0","Surowce roślinne"
"03115100-1","Surowce roślinne używane do produkcji wyrobów włókienniczych"
"03115110-4","Bawełna"
"03115120-7","Juta"
"03115130-0","Len"
"03116000-7","Kauczuk naturalny oraz lateks i produkty powiązane"
"03116100-8","Kauczuk naturalny"
"03116200-9","Lateks naturalny"
"03116300-0","Produkty z lateksu"
"03117000-4","Rośliny używane w branżach specjalnych"
"03117100-5","Rośliny używane w przemyśle perfumeryjnym lub farmaceutycznym lub do wyrobu środków owadobójczych, lub do podobnych celów"
"03117110-8","Rośliny używane w przemyśle perfumeryjnym"
"03117120-1","Rośliny używane w przemyśle farmaceutycznym"
"03117130-4","Rośliny używane do wyrobu środków owadobójczych"
"03117140-7","Rośliny używane do wyrobu środków grzybobójczych lub do podobnych celów"
"03117200-6","Nasiona roślin używane w branżach specjalnych"
"03120000-8","Produkty ogrodnicze i szkółkarskie"
"03121000-5","Produkty ogrodnicze"
"03121100-6","Żywe rośliny, bulwy, korzenie, sadzonki i rozsady"
"03121200-7","Kwiaty cięte"
"03121210-0","Kompozycje kwiatowe"
"03130000-1","Rośliny wykorzystywane do produkcji napojów i przypraw"
